sequence name,identity,alignmentLength,maxAlignment,phylum,class,order,family,genus,species,db
d71d0ecf7ca931950800bcfcf284625e,100,313,31300,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus_trigonus,SHELBY
4f53cafe7b4dbd0d3b8d163d86399005,100,313,31300,Annelida,Polychaeta,Eunicida,Eunicidae,Lysidice,Lysidice_HK01,SHELBY
f2ab4a4635a87d88369bb59476a1059e,82.258,310,25499.98,Annelida,Polychaeta,Phyllodocida,Nereididae,Hediste,Hediste_atoka,SHELBY
b0f79e8cb1264fb4c205f84a2c66df8a,83.861,316,26500.076,Arthropoda,Insecta,Lepidoptera,Notodontidae,Hapigia,Hapigia_sp._BOLD:AAD5626,SHELBY
28866bb664b7810571f29c59bf308b28,93.61,313,29299.93,Arthropoda,Malacostraca,Amphipoda,Podoceridae,Podocerus,Podocerus_brasiliensis,SHELBY
2c0023de506e3f70de4f31f6a86ffa55,82.166,314,25800.124,Annelida,Polychaeta,Phyllodocida,Nereididae,Hediste,Hediste_atoka,SHELBY
37cb11f50892dbc34fee8b5ce62d6fb0,100,313,31300,Arthropoda,Hexanauplia,Sessilia,Tetraclitidae,Tetraclitella,Tetraclitella_pilsbryi,SHELBY
de9e223b7ca9e9eaa3c5e06d04e24096,100,313,31300,Sipuncula,Phascolosomatidea,Phascolosomatida,Phascolosomatidae,Phascolosoma,Phascolosoma_HK01,SHELBY
cf66dfa165da071b93e806316dbbb488,81.529,314,25600.106,Arthropoda,Insecta,Lepidoptera,Sphingidae,Neopolyptychus,Neopolyptychus_compar,SHELBY
542ceb780c72ee67fd0b849c7efd5489,100,311,31100,Annelida,Polychaeta,Terebellida,Terebellidae,NA,Terebellidae_HK05,SHELBY
b8fe6a8b760c2100c18586a1e2dc723b,100,313,31300,Annelida,Polychaeta,Golfingiida,Golfingiidae,Nephasoma,Nephasoma_flagriferum,SHELBY
cfb2b8810b71db5680b4f77fcc78ca6d,99.681,313,31200.153,Annelida,Polychaeta,Eunicida,Eunicidae,NA,Eunicidae_HK02,SHELBY
92b190bbb0987a4b84f9949ff848a4a9,100,313,31300,Mollusca,Gastropoda,Trochida,Trochidae,Clanculus,Clanculus_margaritarius,SHELBY
d6149622345b091a8384a6027fc34d81,100,304,30400,Mollusca,Bivalvia,Ostreoida,Ostreidae,Ostrea,Ostrea_stentina,SHELBY
34afdc6b6f771c7e533cc772cdd19834,98.083,313,30699.979,Annelida,Polychaeta,Spionida,Cirratulidae,Dodecaceria,Dodecaceria_sp._AMW23009,SHELBY
4bacb15d98b982b563bd0153bb16a1fb,100,313,31300,Annelida,Polychaeta,Spionida,Spionidae,NA,Spionidae_HK01,SHELBY
244f5a5deb5fb850f1194c7a230c2b55,100,313,31300,Annelida,Polychaeta,Phyllodocida,Hesionidae,Platynereis,Nereididae_HK04,SHELBY
01dd75d88324f100a012851419735900,100,313,31300,Annelida,Polychaeta,Eunicida,Dorvilleidae,Dorvillea,Dorvilleidae_HK01,SHELBY
b045e30c589b526b24e513873d95397e,80.399,301,24200.099,Arthropoda,Insecta,Ephemeroptera,Ametropodidae,Ametropus,Ametropus_neavei,SHELBY
f706e55a48666e1127ca62db7996dda2,100,313,31300,Arthropoda,Malacostraca,Decapoda,Rhynchocinetidae,Rhynchocinetes,Rhynchocinetes_brucei,SHELBY
ca8d50d5bd431835254c657251eb6c6b,95.847,313,30000.111,Arthropoda,Malacostraca,Amphipoda,Podoceridae,Podocerus,Podocerus_brasiliensis,SHELBY
da65e664469e46becac0bf2bf14dc956,100,310,31000,Platyhelminthes,Turbellaria,Polycladida,NA,NA,Polycladida_HK06,SHELBY
fd393c2d87fd884f4dc48d2f9e89c3a3,100,313,31300,Echinodermata,Ophiuroidea,Ophiurida,Ophiactidae,Ophiactis,Ophiactis_sp._C_1298,SHELBY
ba0277d0695d81123fa2795923d2ec39,99.681,313,31200.153,Annelida,Polychaeta,Phyllodocida,Hesionidae,Syllidia,Syllidia_hongkongensis,SHELBY
5e6793f2e45dd56ea765ffd12384307a,99.361,313,31099.993,Mollusca,Gastropoda,Littorinimorpha,Vermetidae,NA,Vermetidae_HK01,SHELBY
6d15b2c28160d75c88d922c300da91fd,100,313,31300,Arthropoda,Malacostraca,Amphipoda,NA,NA,Amphipoda_sp._BOLD:ACQ7829,SHELBY
53bc0a6f05cf247d1748401447579a50,96.486,313,30200.118,Annelida,Polychaeta,Terebellida,Cirratulidae,NA,Cirratulidae_HK02,SHELBY
a1c69227ce86bdc241f186fa61a9945a,85.809,303,26000.127,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidia,Herdmania_pallida,SHELBY
782472b9192549ddb55c1f687baf2057,92.557,309,28600.113,Platyhelminthes,Turbellaria,Polycladida,NA,NA,Polycladida_HK07,SHELBY
3a6f05ca769d8ebb1acbb1307eb6ed57,98.722,313,30899.986,Annelida,Polychaeta,Eunicida,Amphinomidae,Eurythoe,Eurythoe_cf._complanata_MW-2015,SHELBY
da0cf914d7718f71bf9fe13e8afd2ab2,81.579,304,24800.016,Annelida,Polychaeta,Flabelligerida,Flabelligeridae,Diplocirrus,Diplocirrus_toyoshioae,SHELBY
1edf1fe3c062e25e52bd4f2f34cbae91,97.444,313,30499.972,Arthropoda,Hexanauplia,Sessilia,Archaeobalanidae,Striatobalanus,Striatobalanus_amaryllis,SHELBY
d9e3d91d8fd1aada73acbe93e0cd7984,89.389,311,27799.979,Echinodermata,Ophiuroidea,NA,NA,NA,Ophiuroidea_HK02,SHELBY
fc4eaa592ef5ac42911889a160dba14b,100,313,31300,Mollusca,Gastropoda,NA,Fissurellidae,Diodora,Diodora_HK01,SHELBY
c13c728e13bb95925e28c076a363a93e,100,313,31300,Mollusca,Gastropoda,Neogastropoda,Muricidae,Ergalatax,Ergalatax_contracta,SHELBY
d1abcf42f7b76530b2fe629619e6f0f6,100,313,31300,Arthropoda,Malacostraca,Decapoda,Galatheidae,Galathea,Galathea_senta,SHELBY
40166b221276635cf9cb012dfe83b2a2,80.449,312,25100.088,Annelida,Polychaeta,NA,NA,NA,Polychaeta_sp._KSA_1437,SHELBY
22c0abec8c082d4f9ea6351ac3f5969e,96.486,313,30200.118,Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphipholis,Amphipholis_squamata,SHELBY
94a582f06520820bec75fffcc44ff7c9,95.527,313,29899.951,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Monocorophium,Monocorophium_acherusicum,SHELBY
a35ed8e71793371113f562fa0d649168,97.444,313,30499.972,Porifera,Demospongiae,Suberitida,Suberitidae,Protosuberites,Protosuberites_denhartogi,SHELBY
885b9305c062365e3f6e0ba33b4c097d,100,313,31300,Annelida,Polychaeta,Sabellida,Sabellariidae,NA,Sabellariidae_HK01,SHELBY
b3f3c8474a6f945a9b4c9c1ed5d5d361,100,313,31300,Mollusca,Gastropoda,Littorinimorpha,Crepidulidae,Crepidula,Crepidula_onyx,SHELBY
0db67538d80eaecc36c1182b06813b33,100,313,31300,Bryozoa,Gymnolaemata,Cheilostomatida,Lepraliellidae,Celleporaria,Celleporaria_inaudita,SHELBY
3ff79b1b9317ee70f11a27c19065086e,83.387,313,26100.131,Annelida,Clitellata,Haplotaxida,Lumbricidae,Aporrectodea,Aporrectodea_rosea,SHELBY
2b2e057d4cb060038091285099108b2e,84.345,313,26399.985,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Sige,Sige_fusigera,SHELBY
3c44f1f28b2dbe4afb8b954cb634ea6a,100,313,31300,Mollusca,Gastropoda,Littorinimorpha,Zebinidae,Stosicia,Stosicia_annulata,SHELBY
4b51ef4f7adb4d6330fd4c7c7d4e4a3a,99.682,314,31300.148,Cnidaria,Anthozoa,Actiniaria,Aiptasiidae,Aiptasia,Aiptasia_pulchella,SHELBY
772b1919b0cc5077ed5c5d17059e5315,100,313,31300,Arthropoda,Malacostraca,Decapoda,Porcellanidae,Pisidia,Pisidia_gordoni,SHELBY
ea312290b409793922f18fbc587d9b43,98.403,313,30800.139,Porifera,Demospongiae,Haplosclerida,Niphatidae,Gelliodes,Gelliodes_wilsoni,SHELBY
1e133239c7a66f4d073b088cf9df6c3a,81.311,305,24799.855,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,Obelia_geniculata,SHELBY
e90b77d99635e55c00d041693d80705f,96.795,312,30200.04,Porifera,Demospongiae,Dendroceratida,Dictyodendrillidae,Igernella,Igernella_notabilis,SHELBY
855d93f39cf2674c1040cd8932d1243d,80.063,316,25299.908,Annelida,Polychaeta,Terebellida,Terebellidae,Polycirrus,Polycirrus_eximius,SHELBY
7a8d3fc0fab2cd1fe14f4867ba0b5d79,99.042,313,31000.146,Echinodermata,Ophiuroidea,NA,NA,NA,Ophiuroidea_HK01,SHELBY
721699da60d62139e9558f1fd9ba2bc4,100,313,31300,Arthropoda,Malacostraca,Amphipoda,NA,NA,Amphipoda_unspecified,SHELBY
819203d1a8cbfc54ea030f8bfafc72d4,86.293,321,27700.053,Bryozoa,Gymnolaemata,Ctenostomatida,Vesiculariidae,Amathia,Amathia_brasiliensis,SHELBY
a69fa1f767575757235687814fd52b8f,100,313,31300,Annelida,Polychaeta,Terebellida,Terebellidae,NA,Terebellidae_HK06,SHELBY
e14068fb5a3e85d0b9de711d34f5da5f,80,310,24800,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Helcystogramma,Helcystogramma_fernaldella,SHELBY
bf7da4c6a07826c03ace43d0515d6a93,95.498,311,29699.878,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia_sp._GL_JRH-2014,SHELBY
384732be478677a6d220f661322b8691,81.639,305,24899.895,Annelida,Clitellata,Haplotaxida,Acanthodrilidae,Deinodrilus,Deinodrilus_gorgon,SHELBY
7adddc705539e5c87c99caf3026bdb60,100,313,31300,Annelida,Polychaeta,Terebellida,Cirratulidae,Timarete,Timarete_ceciliae,SHELBY
354127c0d90eae8e8b399a03ad43684d,82.958,311,25799.938,Cnidaria,Hydrozoa,Anthoathecata,Cladonematidae,Staurocladia,Staurocladia_wellingtoni,SHELBY
b95e50a09760d5f9e99e5f9c95659573,82.54,315,26000.1,Arthropoda,Insecta,Diptera,Stratiomyidae,Ptilocera,Ptilocera_continua,SHELBY
da2971e25369f6b6a42f04a6f1e5d79e,84.091,308,25900.028,Annelida,Polychaeta,Spionida,Spionidae,Boccardiella,Boccardiella_hamata,SHELBY
77f66382b5ed39c46f97fd9313f0f63d,80,300,24000,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,Simulium_mirum,SHELBY
a6243f1d3f0546ee3780e2192e0198b8,100,313,31300,Annelida,Polychaeta,Spionida,Spionidae,NA,Spionidae_HK02,SHELBY
0e99e5f0758ed313f2736e380d180812,100,313,31300,Mollusca,Gastropoda,Trochida,Trochidae,Calliostoma,Calliostoma_katoi,SHELBY
48f5228393f5622e335ba05c17b2989c,100,310,31000,Platyhelminthes,Turbellaria,Polycladida,NA,NA,Polycladida_HK08,SHELBY
ffd0e6fa67becb608252be327a226828,100,313,31300,Chordata,Actinopterygii,Perciformes,Gobiidae,Tridentiger,Tridentiger_trigonocephalus,SHELBY
02117f685a3cdb596ae37c749888beea,100,313,31300,Porifera,NA,NA,NA,NA,Porifera_HK01,SHELBY
e08ebae715612ad9f8e67ff6f7f360a1,99.361,313,31099.993,Arthropoda,Malacostraca,Amphipoda,Gammaridae,NA,Gammaridae_sp._KML_32,SHELBY
289574a00ca25fcd2c6bf9c9fc3488d6,99.671,304,30299.984,Mollusca,Bivalvia,Ostreoida,Ostreidae,Dendostrea,Dendostrea_crenulifera,SHELBY
2d67a88559e93fe9fe7fa2222804d2a1,82.903,310,25699.93,Arthropoda,Insecta,Lepidoptera,Notodontidae,Sericochroa,Sericochroa_arecosa,SHELBY
1bbf7ea52be65932695ff85330961b19,100,304,30400,Mollusca,Bivalvia,Ostreida,Ostreidae,Dendostrea,Dendostrea_sandwichensis,SHELBY
e17775a12de3369c4ff31a13356edd61,82.258,310,25499.98,Annelida,Polychaeta,Eunicida,Eunicidae,NA,Eunicidae_HK04,SHELBY
63901211bcc0f83f25817a5e13df35c6,85.256,312,26599.872,Entoprocta,NA,NA,Loxosomatidae,NA,Loxosomatidae,SHELBY
021c6b06f207cf3e5f9fec7ce39114bd,81.994,311,25500.134,Arthropoda,Malacostraca,Amphipoda,NA,NA,Amphipoda_sp._OTU10,SHELBY
c09602fecae076b6a341a49ae31f5ea8,100,313,31300,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Pagurus_HK01,SHELBY
be34ae85477c74b43df712d16c6a1e75,82.428,313,25799.964,Arthropoda,Insecta,Lepidoptera,Pieridae,Colotis,Colotis_halimede,SHELBY
b4aa9cd985c229733c5d60570190acc6,100,313,31300,Arthropoda,Malacostraca,Amphipoda,Maeridae,Maera,Maera_HK01,SHELBY
386fb7c1601d3fc02600c020ad7d3d3f,98.387,310,30499.97,Annelida,NA,Scolecida,Orbiniidae,NA,Orbiniidae_HK01,SHELBY
d0d1d41c73a51311c94897646da1dfae,100,302,30200,Mollusca,Bivalvia,Ostreida,Pteriidae,Pinctada,Pinctada_albina,SHELBY
d97450248005f69e7c541c1b58ed695f,81.388,317,25799.996,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Lymanopoda,Lymanopoda_albocincta_albocincta,SHELBY
c749c156d10e4763b03f6f3a1a437a8a,100,313,31300,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia_sp._GL_JRH-2014,SHELBY
66c77e8b5735d5ef1e4bbd1a5583795b,84.665,313,26500.145,Bryozoa,Gymnolaemata,Cheilostomatida,Smittinidae,Parasmittina,Parasmittina_collifera,SHELBY
3289be4645ab15f978541f8a6a1900c1,84.177,316,26599.932,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Cantharus,Cantharus_cecillei,SHELBY
20b22aa1416880e911c25d346e855043,100,313,31300,Annelida,Polychaeta,Phyllodocida,Nereididae,Perinereis,Perinereis_euiini,SHELBY
f782b0d2b37b1554dd6516a289e8db9f,80.064,311,24899.904,Annelida,Polychaeta,Phyllodocida,Nereididae,NA,Nereididae_sp._BP2010-004,SHELBY
daed7ff6c3329c8db06c5fbc2c3f7a16,100,313,31300,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Monocorophium,Monocorophium_acherusicum,SHELBY
68adf10657d10a5d64d2be9995b770ba,81.15,313,25399.95,Bryozoa,Gymnolaemata,Cheilostomatida,Microporellidae,Microporella,Microporella_sp._BLEED387,SHELBY
0fb781edd1a79f2d3449a947f5a0081f,80.456,307,24699.992,Arthropoda,Hexanauplia,Calanoida,Calanidae,Undinula,Undinula_vulgaris,SHELBY
a62769719555c6905ee0e61206cc9d42,100,313,31300,Annelida,Polychaeta,Terebellida,Terebellidae,NA,Terebellidae_HK09,SHELBY
62903f96e4a5a1f75e2fd252b72c2cba,100,313,31300,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Periclimenes,Periclimenes_HK01,SHELBY
147c0cbdb30ac6f8dd445cf338eeb427,97.444,313,30499.972,Porifera,Demospongiae,Haplosclerida,Chalinidae,Haliclona,Haliclona_aff._aquaeductus,SHELBY
d693864d0da51011d86887a252a0516d,100,313,31300,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,Phyllodoce_HK03,SHELBY
8f91a1954a29a9a3d9f171c9fb7356e9,80.065,306,24499.89,Arthropoda,Insecta,Trichoptera,Glossosomatidae,Mortoniella,Mortoniella_roldani,SHELBY
a031a54f1b3fc927c1deee5c1b17779f,100,313,31300,Annelida,Polychaeta,Phyllodocida,Syllidae,Trypanosyllis,Trypanosyllis_luzonensis_HK01,SHELBY
cc526f49e6d15db11f42045f3fd42b42,84.936,312,26500.032,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,Glycera_sp._Vd1(b)-Gly,SHELBY
dd302a7f4d0a30012b8d68f306f8a223,83.387,313,26100.131,Annelida,Polychaeta,Phyllodocida,Syllidae,Odontosyllis,Odontosyllis_gibba,SHELBY
b45fa974b47bc8be196cfd8df0191cfb,100,313,31300,Annelida,Polychaeta,Eunicida,Eunicidae,NA,Eunicidae_HK03,SHELBY
33e0830e34b05924d3c922854c365278,100,313,31300,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Bougainvillia,Bougainvillia_sp._PM_JRH-2014,SHELBY
d48bc1090433c8e6dc11e7a4e409b1d6,85.531,311,26600.141,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia_hemisphaerica,SHELBY
670c79020b750774feaebea44b41d5db,100,313,31300,Annelida,Polychaeta,Terebellida,Cirratulidae,NA,Cirratulidae_HK02,SHELBY
0f2cadd7bb1428df54348ee5eceb40d4,99.681,313,31200.153,Arthropoda,Malacostraca,Amphipoda,NA,NA,Amphipoda_sp._LPdivOTU63,SHELBY
7caf73fa36d2a3d5c55ead8ede0b0ccc,86.859,312,27100.008,Entoprocta,NA,NA,Pedicellinidae,Pedicellina,Pedicellina_cernua,SHELBY
306762f169dee8a2f8d567d0c4780d6b,98.701,308,30399.908,Porifera,Demospongiae,Dendroceratida,Darwinellidae,Dendrilla,Dendrilla_sp._FAR-2016,SHELBY
a25d15f82343312084d8643a5961c502,99.045,314,31100.13,Arthropoda,Malacostraca,Decapoda,Hippolytidae,Lysmata,Lysmata_vittata,SHELBY
9ecd1cf786003412d4b52965ede17ac1,99.677,310,30899.87,Platyhelminthes,Turbellaria,Polycladida,NA,NA,Polycladida_HK07,SHELBY
45490fcac8f0f4b193aad7f6d56579b5,89.389,311,27799.979,Annelida,Polychaeta,Terebellida,Cirratulidae,NA,Cirratulidae_HK03,SHELBY
dd373627eabdf42d5f36171a0c31cfd7,99.042,313,31000.146,Annelida,Polychaeta,Phyllodocida,Polynoidae,Melaenis,Melaenis_sp._YZ-2018,SHELBY
967b398ee96bd74513880b70c3b69ab3,82.958,311,25799.938,Annelida,Polychaeta,Spionida,Spionidae,Polydora,Polydora_websteri,SHELBY
9bd3a578f55f26c3fde28ba819aafc63,94.249,313,29499.937,Annelida,Polychaeta,Terebellida,Cirratulidae,Timarete,Timarete_ceciliae,SHELBY
01240e00f2909d59f49db944170ecb56,99.361,313,31099.993,Arthropoda,Malacostraca,Decapoda,Porcellanidae,Pachycheles,Pachycheles_sculptus,SHELBY
feffb3d22c6e782df2828c04ea90c04e,100,313,31300,Arthropoda,Malacostraca,Decapoda,Hippolytidae,Thor,Thor_paschalis_HK01,SHELBY
5709356d8558da6d3ed2cb32fc6c9383,100,313,31300,Bryozoa,Gymnolaemata,Cheilostomatida,Microporellidae,Microporella,Microporella_HK01,SHELBY
99db09f887633ca8836e76a31a3ae482,80.323,310,24900.13,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Heteronympha,Heteronympha_merope_duboulayi,SHELBY
3b7d1df42b919c1816a4f3a5fac77d80,100,313,31300,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Styela,Styela_canopus_HK02,SHELBY
6506b61af1f716bb0aa81f5281dbbf3d,97.444,313,30499.972,Bryozoa,Gymnolaemata,Cheilostomatida,Smittinidae,Parasmittina,Parasmittina_sp._BMOO-07647,SHELBY
46ecba596c0140b2d7a1d3a7d71d0de4,100,313,31300,Arthropoda,Malacostraca,Decapoda,Xanthidae,Macromedaeus,Macromedaeus_distinguendus,SHELBY
27396927aabb3a3e852ee439e5e4bde4,100,313,31300,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidia,Herdmania_pallida,SHELBY
4b36d205251694a261735215d3c7b331,100,313,31300,Annelida,NA,NA,NA,NA,Annelida_sp._BOLD:ACR0175,SHELBY
a3e3eedc7615a3e0f513cec5d870e289,99.361,313,31099.993,Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus,Alpheus_bisincisus,SHELBY
c9bb4c2ae041d4f36a409a6307b6bd44,100,313,31300,Arthropoda,Malacostraca,Decapoda,Alpheidae,Synalpheus,Synalpheus_streptodactylus,SHELBY
8da3d9b47e7c3e922448edc1a70e317a,95.513,312,29800.056,Porifera,Demospongiae,Biemnida,Biemnidae,Sigmaxinella,Sigmaxinella_hipposiderus,SHELBY
f651315faf9397d218713eff619485c2,87.417,302,26399.934,Entoprocta,NA,NA,Pedicellinidae,Pedicellina,Pedicellina_cernua,SHELBY
98e08b5da178cc18e6bb72b39d4dd891,99.681,313,31200.153,Arthropoda,Malacostraca,Decapoda,Diogenidae,Areopaguristes,Areopaguristes_HK01,SHELBY
4698aabb8eff7119a4d3422b5b4fa3a3,88.274,307,27100.118,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,Obelia_bidentata,SHELBY
acee33be57d92f903c8b021fec805cef,100,313,31300,Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus,Alpheus_edwardsii_HK01,SHELBY
a0d62e36b67bba0a52b81511727ebb8f,100,313,31300,Mollusca,Bivalvia,Arcida,Arcidae,Barbatia,Barbatia_trapezina,SHELBY
cfa1ad82289621767c6ce18ed80ae031,96.166,313,30099.958,Echinodermata,Ophiuroidea,NA,NA,NA,Ophiuroidea_HK01,SHELBY
3fce100e0bf00a0829bf5f3ac5910d46,100,313,31300,Arthropoda,Malacostraca,Decapoda,Pilumnidae,NA,Pilumnidae_HK02,SHELBY
91f8a8462ca62641d40c8702b30059db,95.847,313,30000.111,Porifera,Demospongiae,Clionaida,Clionaidae,Pione,Pione_velans,SHELBY
2427280e7c7658ab76888f7561390b6f,96.805,313,30299.965,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus_trigonus,SHELBY
74c94a82e627111f780a4e18a6df0f9b,85.987,314,26999.918,Entoprocta,NA,NA,Pedicellinidae,Pedicellina,Pedicellina_cernua,SHELBY
b3c110965ccadeababc66f80c04f406e,100,313,31300,Annelida,Polychaeta,Phyllodocida,Syllidae,NA,Syllidae_HK05,SHELBY
dfb66cfcfea48dc9191fc06c39cbd83e,82.951,305,25300.055,Annelida,Polychaeta,Eunicida,Dorvilleidae,Ophryotrocha,Ophryotrocha_labronica,SHELBY
19ebf4d4e007cd12e71d6f9ce1882f3a,96.166,313,30099.958,Porifera,Demospongiae,Clionaida,Clionaidae,Pione,Pione_velans,SHELBY
24329a3802d6a4f1d32bb5aeb2283e57,99.681,313,31200.153,Annelida,Polychaeta,Eunicida,Dorvilleidae,Ophryotrocha,Ophryotrocha_permanni,SHELBY
899794cdb0a40200bc1ee324991a2dd0,100,313,31300,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Eucheilota,Eucheilota_sp._JRH-2014,SHELBY
29843b00a9535ed96e246819f59dfe12,85.669,314,26900.066,Arthropoda,Insecta,Lepidoptera,Riodinidae,Napaea,Napaea_actoris,SHELBY
1ab02781bf087c119f3b89ae93b2478e,98.403,313,30800.139,Porifera,Demospongiae,Clionaida,Clionaidae,Pione,Pione_velans,SHELBY
5435751a8badbe7320b6bc89c14a1bc0,80.511,313,25199.943,Annelida,Polychaeta,Spionida,Spionidae,Marenzelleria,Marenzelleria_viridis,SHELBY
65283a8c36dca7e1579a4c093e2aaac0,83.601,311,25999.911,Annelida,Polychaeta,NA,Arenicolidae,Arenicola,Arenicola,SHELBY
505c38ee2ec73a8e5f3e06c9958299f2,93.61,313,29299.93,Annelida,Clitellata,Haplotaxida,Naididae,Heterodrilus,Heterodrilus_sp._n._PDW-2015,SHELBY
f81d5e9aa79937c4e322ec1c21bea004,81.013,316,25600.108,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Thermocyclops,Thermocyclops_decipiens,SHELBY
775a73e5f0df3a8ccf26234669e86c6b,97.125,313,30400.125,Annelida,Polychaeta,Phyllodocida,Hesionidae,Syllidia,Syllidia_hongkongensis,SHELBY
53db6272e3ffda38bb356ed1fa8a4ec7,99.361,313,31099.993,Arthropoda,Malacostraca,Amphipoda,Podoceridae,Podocerus,Podocerus_brasiliensis,SHELBY
23595d5b7f24efcab6a19d07783b3572,84.211,304,25600.144,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Nereiphylla,Nereiphylla_HK02,SHELBY
4c8f20799b105e1e073ef2c334945044,100,313,31300,Sipuncula,Phascolosomatidea,Phascolosomatida,Phascolosomatidae,Phascolosoma,Phascolosoma_HK01,SHELBY
e8fac5a83aefbe8b63a75948578d842d,86.262,313,27000.006,Bryozoa,Gymnolaemata,Cheilostomatida,Smittinidae,Parasmittina,Parasmittina_collifera,SHELBY
240de501832b12fe3a45aa466f71708b,98.083,313,30699.979,Porifera,Demospongiae,Suberitida,Suberitidae,Protosuberites,Protosuberites_ectyoninus,SHELBY
38c23a4de4daa9373d6c421dc61d5b36,100,313,31300,Arthropoda,Insecta,Hemiptera,NA,NA,NA,SHELBY
febdd67d58eb8286f13f923f45b490a5,100,312,31200,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bugula,Bugula_neritina,SHELBY
fc2f9d0ced1192b57f632602a22137b4,85.256,312,26599.872,Bryozoa,Gymnolaemata,Ctenostomatida,Vesiculariidae,Amathia,Amathia_sp._n._2_AW-2014,SHELBY
